2019,2018,2017,2016,2015,2014
Zoox December 20  2019 (PDF),Waymo December 11  2018,GM Cruise December 7  2017,Google December 11  2016,Google November 2  2015,Delphi October 14  2014
Waymo December 20  2019 (PDF),Waymo December 3  2018,GM Cruise November 13  2017,Google October 26  2016,Google August 20  2015,
Zoox December 19  2019 (PDF),GM Cruise December 1  2018,GM Cruise October 26  2017,Google September 23  2016,Google July 1  2015,
Cruise December 19  2019 (PDF),Waymo November 29  2018,GM Cruise October 20  2017,Google September 14  2016,Google June 18  2015,
Cruise December 13  2019 (PDF),Waymo November 28  2018,GM Cruise October 18  2017,Google September 7  2016,Google June 4  2015,
Cruise December 8  2019 (PDF),GM Cruise November 24  2018,GM Cruise October 17  2017,Google September 2  2016,Google May 30  2015,
Cruise November 29  2019 (PDF),Zoox November 20  2018,GM Cruise October 16  2017,Google August 16  2016,Google April 27  2015,
Cruise November 25  2019 (PDF),Waymo November 18  2018,GM Cruise October 12  2017,Google August 8  2016,Google April 7  2015,
Zoox November 22  2019 (PDF),GM Cruise November 15  2018 (1),GM Cruise October 7  2017,Google July 15  2016,Google February 26  2015,
Lyft November 19  2019 (PDF),GM Cruise November 15  2018 (2),Zoox Inc September 27  2017,Nissan May 10  2016,,
Cruise November 18  2019 (PDF),Waymo November 14  2018 (1),GM Cruise September 21  2017,Google May 4  2016,,
Cruise November 10  2019 (PDF),Waymo November 14  2018 (2),GM Cruise September 19  2017,Google April 28  2016,,
Cruise November 9  2019 (PDF),Waymo November 7  2018,GM Cruise September 18  2017,Google April 7  2016,,
Cruise November 7  2019 (1) (PDF),GM Cruise November 6  2018,GM Cruise September 15  2017,Google February 14  2016,,
Cruise November 7  2019 (2) (PDF),Aurora Innovation November 2  2018,GM Cruise September 12  2017,Cruise Automation January 8  2016,,
Waymo November 4  2019 (PDF),GM Cruise October 27  2018,GM Cruise September 9  2017,,,
Cruise October 29  2019 (PDF),GM Cruise October 26  2018,Waymo August 26  2017,,,
Cruise October 28  2019 (PDF),Waymo October 24  2018,UATC LLC August 16  2017,,,
Waymo October 28  2019 (1) (PDF),Waymo October 19  2018,GM Cruise July 6  2017,,,
Waymo October 28  2019 (2) (PDF),GM Cruise October 14  2018,GM Cruise June 28  2017,,,
Cruise October 27  2019 (PDF),Waymo October 15  2018,GM Cruise June 7  2017,,,
Cruise October 26  2019 (PDF),Apple October 15  2018,GM Cruise May 25  2017,,,
Waymo October 19  2019 (PDF),Zoox October 12  2018,UATC May 17  2017,,,
Waymo October 18  2019 (PDF),Waymo September 24  2018,UATC May 11  2017,,,
Cruise October 17  2019 (PDF),Zoox September 24  2018,Google April 19  2017,,,
Waymo October 16  2019 (PDF),GM Cruise September 22  2018,Google March 26  2017,,,
Waymo October 14  2019 (PDF),Waymo September 18  2018,GM Cruise March 23  2017,,,
Zoox October 12  2019 (PDF),Waymo September 14  2018,GM Cruise March 22  2017,,,
Cruise October 12  2019 (PDF),GM Cruise September 9  2018,GM Cruise February 16  2017,,,
Zoox October 11  2019 (PDF),GM Cruise September 8  2018,,,,
Waymo October 10  2019 (PDF),Zoox September 7  2018,,,,
GM Cruise October 3  2019 (PDF),Waymo August 24  2018,,,,
GM Cruise September 27  2019 (PDF),Apple August 24  2018,,,,
Apple September 19  2019 (PDF),Waymo August 20  2018,,,,
Aimotive September 16  2019 (PDF),GM Cruise August 16  2018,,,,
Waymo September 14  2019 (PDF),GM Cruise August 14  2018,,,,
GM Cruise September 9  2019 (PDF),Zoox August 11  2018,,,,
GM Cruise September 5  2019 (PDF),Waymo August 10  2018,,,,
GM Cruise August 26  2019 (PDF),GM Cruise August 7  2018,,,,
GM Cruise August 22  2019 (PDF),Toyota Research Institute August 7  2018,,,,
Waymo August 13  2019 (PDF),Waymo LLC August 6  2018,,,,
Waymo August 12  2019 (PDF),GM Cruise July 31  2018,,,,
GM Cruise August 10  2019 (PDF),Waymo LLC July 26  2018,,,,
Waymo August 9  2019 (1) (PDF),Waymo LLC July 23  2018,,,,
Waymo August 9  2019 (2) (PDF),GM Cruise July 20  2018,,,,
GM Cruise August 7  2019 (PDF),Waymo LLC July 19  2018,,,,
GM Cruise August 4  2019 (PDF),Waymo LLC July 9  2018,,,,
Zoox July 23  2019 (PDF),GM Cruise July 8  2018,,,,
GM Cruise July 21  2019 (1) (PDF),GM Cruise July 5  2018,,,,
GM Cruise July 21  2019 (2) (PDF),GM Cruise June 29  2018,,,,
GM Cruise July 20  2019 (PDF),GM Cruise June 22  2018,,,,
GM Cruise July 17  2019 (PDF),Aurora Innovation June 20  2018,,,,
Waymo July 16  2019 (PDF),Waymo LLC June 13  2018,,,,
GM Cruise July 15  2019 (PDF),GM Cruise June 11  2018,,,,
Pony.ai July 12  2019 (PDF),GM Cruise June 3  2018,,,,
GM Cruise July 10  2019 (PDF),Waymo LLC May 25  2018,,,,
Waymo July 8  2019 (PDF),GM Cruise May 25  2018,,,,
GM Cruise July 2  2019 (PDF),GM Cruise May 23  2018,,,,
GM Cruise July 1  2019 (PDF),Jingchi Corp May 22  2018,,,,
GM Cruise June 29  2019 (PDF),GM Cruise May 22  2018,,,,
GM Cruise June 27  2019 (PDF),GM Cruise May 13  2018,,,,
Pony.ai June 26  2019 (PDF),Waymo LLC April 6  2018,,,,
GM Cruise June 26  2019 (PDF),GM Cruise March 29  2018,,,,
GM Cruise June 23  2019 (PDF),GM Cruise March 27  2018,,,,
GM Cruise June 20  2019 (PDF),GM Cruise March 24  2018 (1),,,,
Zoox Inc June 19  2019 (PDF),GM Cruise March 24  2018 (2),,,,
Waymo June 16  2019 (PDF),GM Cruise March 19  2018,,,,
GM Cruise June 13  2019 (PDF),GM Cruise March 14  2018,,,,
GM Cruise June 12  2019 (PDF),GM Cruise February 20  2018,,,,
Zoox Inc June 11  2019 (PDF),GM Cruise February 16  2018,,,,
GM Cruise June 8  2019 (PDF),Drive.ai  Inc. January 29  2018,,,,
Waymo May 29  2019 (PDF),GM Cruise January 28  2018,,,,
GM Cruise May 24  2019 (PDF),Zoox January 18  2018,,,,
Waymo May May 22  2019 (PDF),GM Cruise January 8  2018,,,,
GM Cruise May 18  2019 (PDF),GM Cruise January 2  2018,,,,
Waymo May 15  2019 (PDF),,,,,
GM Cruise May 13  2019 (PDF),,,,,
GM Cruise May 8  2019 (PDF),,,,,
GM Cruise May 4  2019 (1) (PDF),,,,,
GM Cruise May 4  2019 (2) (PDF),,,,,
Lyft May 2  2019 (PDF),,,,,
GM Cruise May 2  2019 (PDF),,,,,
GM Cruise April 14  2019 (1) (PDF),,,,,
GM Cruise April 14  2019 (2) (PDF),,,,,
Lyft April 11  2019 (PDF),,,,,
GM Cruise April 10  2019 (1) (PDF),,,,,
GM Cruise April 10  2019 (2) (PDF),,,,,
GM Cruise April 3  2019 (PDF),,,,,
Waymo March 26  2019 (PDF),,,,,
GM Cruise March 24  2019 (PDF),,,,,
GM Cruise March 23  2019 (PDF),,,,,
Lyft March 12  2019 (PDF),,,,,
GM Cruise March 8  2019 (PDF),,,,,
Lyft March 6  2019 (PDF),,,,,
Lyft February 28  2019 (PDF),,,,,
GM Cruise February 27  2019 (PDF),,,,,
Waymo February 26  2019 (PDF),,,,,
GM Cruise February 14  2019 (PDF),,,,,
Waymo February 10  2019 (PDF),,,,,
Waymo February 6  2019 (PDF),,,,,
Waymo January 26  2019 (PDF),,,,,
Aurora Innovation January 10  2019 (PDF),,,,,
GM Cruise January 10  2019 (PDF),,,,,
GM Cruise January 7  2019 (PDF),,,,,
